Date,Percent_Change,,,,,Date,Percent_Change
28-10-2021,0.041615163,4.161516307,,,,28-10-2021,4.161516307
29-10-2021,0.02420326,2.420326047,,,,29-10-2021,2.420326047
30-10-2021,0.067551229,6.755122937,,,,30-10-2021,6.755122937
31-10-2021,0.02181477,2.181476954,,,,31-10-2021,2.181476954
1/11/2021,0.030569333,3.056933292,,,,1/11/2021,3.056933292
2/11/2021,0.058899762,5.889976233,,,,2/11/2021,5.889976233
3/11/2021,0.051468757,5.146875698,,,,3/11/2021,5.146875698
4/11/2021,0.019787032,1.978703171,,,,4/11/2021,1.978703171
5/11/2021,0.050872393,5.087239281,,,,5/11/2021,5.087239281
6/11/2021,0.027456393,2.745639293,,,,6/11/2021,2.745639293
7/11/2021,0.045358715,4.535871502,,,,7/11/2021,4.535871502
8/11/2021,0.069993036,6.999303596,,,,8/11/2021,6.999303596
9/11/2021,0.022851126,2.285112586,,,,9/11/2021,2.285112586
10/11/2021,0.00588154,0.588153964,,,,10/11/2021,0.588153964
11/11/2021,0.040289518,4.028951764,,,,11/11/2021,4.028951764
12/11/2021,0.014722581,1.472258082,,,,12/11/2021,1.472258082
13-11-2021,0.041006514,4.100651351,,,,13-11-2021,4.100651351
14-11-2021,0.014368041,1.436804072,,,,14-11-2021,1.436804072
15-11-2021,0.044864855,4.486485504,,,,15-11-2021,4.486485504
16-11-2021,0.047453038,4.745303799,,,,16-11-2021,4.745303799
17-11-2021,0.039843708,3.984370769,,,,17-11-2021,3.984370769
18-11-2021,0.028059584,2.805958359,,,,18-11-2021,2.805958359
19-11-2021,0.027312507,2.731250682,,,,19-11-2021,2.731250682
20-11-2021,0.033671225,3.367122456,,,,20-11-2021,3.367122456
21-11-2021,0.019029536,1.902953614,,,,21-11-2021,1.902953614
22-11-2021,0.054173232,5.417323157,,,,22-11-2021,5.417323157
23-11-2021,0.034464716,3.446471617,,,,23-11-2021,3.446471617
24-11-2021,0.029335867,2.933586702,,,,24-11-2021,2.933586702
25-11-2021,0.047577521,4.757752091,,,,25-11-2021,4.757752091
26-11-2021,0.094952706,9.495270632,,,,26-11-2021,9.495270632
27-11-2021,0.025647728,2.564772821,,,,27-11-2021,2.564772821
